trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0045_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,False,,True,True,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2280997974189357e-10,,,,geometry/replay/trials/0045_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200.json
0046_cuboid_hammer_v014_llm_lie_x+0p000_y+0p200,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.16,False,,True,True,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86392966434151e-09,,,,geometry/replay/trials/0046_cuboid_hammer_v014_llm_lie_x+0p000_y+0p200.json
0047_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,False,,True,True,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.949592794285934e-09,,,,geometry/replay/trials/0047_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200.json
0048_cuboid_hammer_v014_llm_only_x-0p350_y-0p200,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.24855095380656422,0.4453087494676885,74.56666725376134,108.91685030780609,1.0647205635790191,0.5225627390924829,0.4907980149607587,38.0,0.1007010817789702,,,,geometry/replay/trials/0048_cuboid_hammer_v014_llm_only_x-0p350_y-0p200.json
0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p200,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.2501306378295234,0.35045787578686255,75.1974680639214,108.86723102412232,1.0647205635790191,0.31152706031808824,0.2925904420131621,38.0,0.10068422343103677,,,,geometry/replay/trials/0049_cuboid_hammer_v014_llm_only_x+0p000_y-0p200.json
0050_cuboid_hammer_v014_llm_only_x+0p350_y-0p200,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3545702976812437,0.531509261660135,74.56666725376134,108.91685030780609,1.0647205635790191,0.3829315858383977,0.3596545412358593,38.0,0.10070108177897018,,,,geometry/replay/trials/0050_cuboid_hammer_v014_llm_only_x+0p350_y-0p200.json
0051_cuboid_hammer_v014_llm_only_x-0p350_y+0p000,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,0.0,True,llm_only_target_conditioned_v1,True,True,4,0,0.22421129719791363,0.34668971576342483,74.56666725376134,108.91685030780609,1.0647205635790191,0.45024809956641076,0.4228791243149454,38.0,0.10070108177897019,,,,geometry/replay/trials/0051_cuboid_hammer_v014_llm_only_x-0p350_y+0p000.json
0052_cuboid_hammer_v014_llm_only_x+0p000_y+0p000,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.0,True,llm_only_target_conditioned_v1,True,True,37,0,0.21624021805539245,0.4224520982588146,74.56666725376134,108.91685030780609,1.0647205635790191,1.0035667938793575,0.9425635497316822,38.0,0.09008768310233842,,,,geometry/replay/trials/0052_cuboid_hammer_v014_llm_only_x+0p000_y+0p000.json
0053_cuboid_hammer_v014_llm_only_x+0p350_y+0p000,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.0,True,llm_only_target_conditioned_v1,True,True,3,0,0.3242344376242575,0.4521017273735521,74.56666725376134,108.91685030780609,1.0647205635790191,0.2723946452406192,0.2558367468032876,38.0,0.10070108177897019,,,,geometry/replay/trials/0053_cuboid_hammer_v014_llm_only_x+0p350_y+0p000.json
0054_cuboid_hammer_v014_llm_only_x-0p350_y+0p200,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.232146900867022,0.3494104115217118,74.56666725376134,108.91685030780609,1.0647205635790191,0.4566297266455565,0.4288728350569397,38.0,0.10070108177897018,,,,geometry/replay/trials/0054_cuboid_hammer_v014_llm_only_x-0p350_y+0p200.json
0055_cuboid_hammer_v014_llm_only_x+0p000_y+0p200,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.17992262467903394,0.2056921806672638,74.56666725376134,108.91685030780609,1.0647205635790191,0.15639871761041818,0.14689179767946778,38.0,0.10070108177897016,,,,geometry/replay/trials/0055_cuboid_hammer_v014_llm_only_x+0p000_y+0p200.json
0056_cuboid_hammer_v014_llm_only_x+0p350_y+0p200,cuboid_hammer_v014,hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.32083036891068284,0.4579514091624927,74.56666725376134,108.91685030780609,1.0647205635790191,0.28928822571588525,0.27170342680661064,38.0,0.10070108177897018,,,,geometry/replay/trials/0056_cuboid_hammer_v014_llm_only_x+0p350_y+0p200.json
0057_long_screwdriver_predefined,long_screwdriver,screwdriver,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,False,,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013940451753479008,89.81685206960853,1923.4717455562557,,geometry/replay/trials/0057_long_screwdriver_predefined.json
0058_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,,geometry/replay/trials/0058_long_screwdriver_llm_lie_x-0p350_y-0p200.json
